date,cases_active,cases_adolescent,cases_adult,cases_elderly
2020-01-25,4,0,1,0
2020-01-26,4,0,0,0
2020-01-27,4,0,0,0
2020-01-28,4,0,0,0
2020-01-29,7,0,2,0
2020-01-30,8,0,1,0
2020-01-31,8,0,0,0
2020-02-01,8,0,0,0
2020-02-02,8,0,0,0
2020-02-03,8,0,0,0
2020-02-04,10,0,1,1
2020-02-05,11,0,1,0
2020-02-06,13,0,2,0
2020-02-07,14,0,1,0
2020-02-08,14,0,0,1
2020-02-09,14,0,0,1
2020-02-10,15,0,1,0
2020-02-11,15,0,0,0
2020-02-12,15,0,0,0
2020-02-13,15,0,0,0
2020-02-14,12,0,1,0
2020-02-15,14,0,2,1
2020-02-16,14,0,0,0
2020-02-17,11,0,0,0
2020-02-18,9,0,0,0
2020-02-19,5,0,0,0
2020-02-20,5,0,0,0
2020-02-21,5,0,0,0
2020-02-22,4,0,0,0
2020-02-23,4,0,0,0
2020-02-24,2,0,0,0
2020-02-25,2,0,0,0
2020-02-26,2,0,0,0
2020-02-27,1,0,1,0
2020-02-28,3,0,2,0
2020-02-29,3,0,0,0
2020-03-01,7,0,4,0
2020-03-02,7,0,0,0
2020-03-03,14,0,7,0
2020-03-04,27,0,10,4
2020-03-05,32,0,3,1
2020-03-06,60,1,23,3
2020-03-07,69,0,7,2
2020-03-08,74,0,5,0
2020-03-09,91,0,12,5
2020-03-10,103,0,11,1
2020-03-11,122,1,10,8
2020-03-12,125,0,6,3
2020-03-13,164,0,31,8
2020-03-14,201,0,34,7
2020-03-15,386,3,128,48
2020-03-16,511,3,85,31
2020-03-17,622,3,91,21
2020-03-18,728,8,78,26
2020-03-19,823,7,77,20
2020-03-20,940,7,96,22
2020-03-21,1062,4,106,33
2020-03-22,1156,6,95,20
2020-03-23,1343,4,155,35
2020-03-24,1423,8,71,18
2020-03-25,1576,6,114,43
2020-03-26,1790,18,168,32
2020-03-27,1874,3,95,23
2020-03-28,1966,8,113,32
2020-03-29,2043,6,109,27
2020-03-30,2105,7,117,20
2020-03-31,2182,7,100,28
2020-04-01,2214,9,103,22
2020-04-02,2298,13,142,37
2020-04-03,2450,19,164,25
2020-04-04,2509,8,111,15
2020-04-05,2596,19,114,23
2020-04-06,2489,6,77,30
2020-04-07,2578,14,112,23
2020-04-08,2567,20,101,26
2020-04-09,2553,5,84,14
2020-04-10,2446,11,84,20
2020-04-11,2462,9,116,18
2020-04-12,2497,9,84,17
2020-04-13,2462,11,99,10
2020-04-14,2427,10,124,25
2020-04-15,2341,3,55,24
2020-04-16,2330,15,62,16
2020-04-17,2197,7,44,8
2020-04-18,2116,5,37,8
2020-04-19,2104,7,66,3
2020-04-20,2041,3,26,5
2020-04-21,2042,9,43,4
2020-04-22,1987,4,33,5
2020-04-23,1967,4,39,4
2020-04-24,1933,6,38,2
2020-04-25,1883,3,19,6
2020-04-26,1821,2,22,8
2020-04-27,1765,0,18,2
2020-04-28,1720,1,17,4
2020-04-29,1758,6,84,1
2020-04-30,1729,4,44,5
2020-05-01,1759,3,35,1
2020-05-02,1747,4,87,4
2020-05-03,1781,18,89,3
2020-05-04,1765,4,42,0
2020-05-05,1710,0,23,2
2020-05-06,1620,4,33,5
2020-05-07,1584,2,25,4
2020-05-08,1564,1,65,1
2020-05-09,1552,0,47,1
2020-05-10,1522,5,58,1
2020-05-11,1504,4,56,4
2020-05-12,1409,0,8,1
2020-05-13,1386,0,32,2
2020-05-14,1356,2,23,0
2020-05-15,1304,1,20,5
2020-05-16,1248,1,14,1
2020-05-17,1211,1,17,1
2020-05-18,1213,0,36,3
2020-05-19,1219,1,22,5
