cluster,district,date_announced,category,cases_total
KLUSTER WARGA JEPUN,LEMBAH PANTAI,2020-01-03,import,3
KLUSTER KAMPUNG BARU,TITIWANGSA,2020-01-05,community,24
KLUSTER BENTENG LD,"LAHAD DATU, TAWAU, SANDAKAN, KINABATANGAN & TUARAN",2020-01-09,import,1146
KLUSTER JALAN MERU,"HULU LANGAT, KLANG, GOMBAK, PETALING, HULU SELANGOR, KUALA SELANGOR, JOHOR BAHRU, BATU PAHAT, KOTA BHARU, TITIWANGSA, LEMBAH PANTAI, KEPONG, CHERAS, TEMERLOH & MUALLIM",2020-01-10,community,143
KLUSTER JOO HWA,TAWAU,2020-01-10,community,7
KLUSTER BAH KETIL,"BALING, LANGKAWI & KUALA MUDA",2020-01-10,community,15
KLUSTER SELASIH,"PUTRAJAYA, SEPANG, JOHOR BAHRU & SEREMBAN ",2020-01-10,community,20
KLUSTER TEMBAGA,TIMUR LAUT & BARAT DAYA,2020-01-11,community,16
KLUSTER USAHA,"KLANG, PETALING, KUALA LANGAT,  LEMBAH PANTAI, KEPONG, KUALA SELANGOR, SEPANG, SEGAMAT & PERAK TENGAH",2020-01-11,workplace,589
KLUSTER VIEW KOLOMBONG,KOTA KINABALU & TUARAN,2020-01-12,workplace,53
KLUSTER TALANG-TALANG,KOTA KINABALU,2020-01-12,workplace,26
"KLUSTER TAHFIZ INTEGRASI IBNU SOLEH, LANCHANG",TEMERLOH,2020-02-05,religious,6
KLUSTER PEDAS,"ALOR GAJAH, SEREMBAN, PORT DICKSON & REMBAU",2020-02-05,workplace,326
KLUSTER PANGSAPURI CHERAS,"CHERAS, KEPONG & HULU LANGAT",2020-02-06,community,8
KLUSTER SERI ANGGERIK,HULU SELANGOR & KUALA SELANGOR,2020-02-10,community,24
KLUSTER SERI SETIA,"PETALING, GOMBAK & TITIWANGSA",2020-02-10,community,8
KLUSTER SERIDANA,PUTRAJAYA,2020-02-11,workplace,20
KLUSTER TENAGA,LABUAN,2020-02-11,community,121
KLUSTER PTS TAWAU,TAWAU,2020-02-11,detentionCentre,766
KLUSTER GEDONG,"SEREMBAN, PORT DICKSON, KUALA PILAH, TAMPIN, REMBAU, PETALING, GOMBAK, KLANG, HULU LANGAT, JOHOR BAHRU, CHERAS, LEMBAH PANTAI & PUTRAJAYA",2020-02-11,education,73
KLUSTER SERI WANGSA,TITIWANGSA,2020-02-12,workplace,11
KLUSTER BALOI,"JOHOR BAHRU, PONTIAN, BATU PAHAT, KULAI & TANGKAK",2020-02-12,education,42
KLUSTER JERNAI,TITIWANGSA & KEPONG,2020-02-12,community,69
KLUSTER IMPIAN,GOMBAK & PETALING,2020-02-12,highRisk,17
KLUSTER DESA PINANG,"KEPONG, LEMBAH PANTAI, TITIWANGSA, CHERAS & GOMBAK",2020-02-12,workplace,104
KLUSTER TAPAK PEMBINAAN KUALA LUMPUR,TITIWANGSA,2020-03-05,workplace,31
KLUSTER BAH ROSE,KUALA MUDA & SEBERANG PERAI UTARA,2020-03-10,community,11
KLUSTER BAH LUNAS,KULIM & BALING,2020-03-10,community,5
KLUSTER JELOK,"KEPONG, HULU LANGAT & PETALING",2020-03-10,community,5
KLUSTER PERMATANG,"KULIM, LANGKAWI, KOTA SETAR, KUALA MUDA, BANDAR BAHARU, SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN, TIMUR LAUT, KINTA & KANGAR",2020-03-11,highRisk,85
KLUSTER CERGAS,"KLANG, SEREMBAN, REMBAU. PORT DICKSON, JEMPOL, PASIR PUTIH & KUALA PILAH",2020-03-11,workplace,1738
KLUSTER MONSOON,PETALING,2020-03-12,community,20
KLUSTER JALAN KILANG,LAHAD DATU,2020-03-12,workplace,27
KLUSTER JALAN KUBOTA,TAWAU,2020-03-12,highRisk,22
KLUSTER PERDANA ENAM,LAHAD DATU,2020-03-12,workplace,51
KLUSTER HUJUNG PASIR,LABUAN,2020-03-12,workplace,85
KLUSTER KEAGAMAAN (TABLIGH SRI PETALING),PELBAGAI,2020-03-13,religious,2022
KLUSTER TABLIGH NEW DELHI,PELBAGAI,2020-03-16,import,24
KLUSTER AIROD,KUANTAN,2020-03-31,workplace,65
KLUSTER UDA,PELBAGAI,2020-04-03,import,144
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASAR BORONG KL,"KEPONG, GOMBAK, PETALING, JEMPOL, SEREMBAN, BENTONG, BERA & RAUB",2020-04-05,religious,204
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER DI KUCHING,"KUCHING, SAMARAHAN & SIMUNJAN",2020-04-05,religious,41
KLUSTER DTI SEMENYIH 2,HULU LANGAT & SEREMBAN,2020-04-09,detentionCentre,3
KLUSTER EMBUN,HULU LANGAT & GOMBAK,2020-04-10,community,7
KLUSTER KAU SING,TAWAU,2020-04-10,community,16
KLUSTER AERO,PETALING,2020-04-11,workplace,31
KLUSTER GADING,"PUTRAJAYA, SEREMBAN, SEGAMAT, BATU PAHAT, KUALA LANGAT, PETALING & SEPANG",2020-04-11,workplace,13
KLUSTER LENGKUK,"SEPANG, SEREMBAN, PORT DICKSON, REMBAU, JELEBU, HULU LANGAT, PETALING, KUALA LANGAT &  KUALA PILAH",2020-04-11,workplace,299
KLUSTER SEPANGGAR,KOTA KINABALU,2020-04-11,workplace,10
KLUSTER PENJARA SANDAKAN,SANDAKAN,2020-04-11,detentionCentre,810
KLUSTER DIALISIS, LAHAD DATU,2020-04-11,highRisk,78
KLUSTER BUKIT DALAM,LEMBAH PANTAI,2020-04-12,community,13
KLUSTER SUNGAI CINCIN,"BATANG PADANG, SEGAMAT & KLANG",2020-04-12,community,16
KLUSTER CEMPAKA,"PONTIAN, KULAI, KLUANG & ALOR GAJAH",2020-04-12,highRisk,24
KLUSTER TAPAK BINA GALERI,LEMBAH PANTAI & CHERAS,2020-04-12,workplace,29
KLUSTER ATABARA,KUANTAN & PEKAN,2020-04-12,community,7
KLUSTER HUMA,PASIR PUTEH & KOTA BHARU,2020-04-12,education,74
KLUSTER TAPAK BINA MUDA,"KEPONG, TITIWANGSA, LEMBAH PANTAI, PETALING, SEPANG, CHERAS, HULU LANGAT, GOMBAK, KLANG, KINTA, PUTRAJAYA & SEREMBAN",2020-04-12,workplace,2323
KLUSTER JALAN GENTING,"TITIWANGSA, LEMBAH PANTAI & BENTONG",2020-04-12,workplace,465
KLUSTER PUI BALI,TUMPAT & KUANTAN,2020-04-13,import,43
