country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,ratio
Malaysia,MYS,24/2/2021,66,63,3,14,0.00019082
Malaysia,MYS,25/2/2021,1217,1212,5,12,0.003671011
Malaysia,MYS,26/2/2021,5288,5280,8,12,0.015992525
Malaysia,MYS,27/2/2021,12004,11990,14,11,0.036316358
Malaysia,MYS,28/2/2021,18724,18705,19,10,0.056655336
Malaysia,MYS,1/3/2021,34116,34091,25,9,0.103257795
Malaysia,MYS,2/3/2021,55803,55773,30,5,0.168930129
Malaysia,MYS,3/3/2021,78501,78465,36,6,0.237661638
Malaysia,MYS,4/3/2021,98057,98006,51,7,0.296849124
Malaysia,MYS,5/3/2021,112428,112371,57,5,0.34035909
Malaysia,MYS,6/3/2021,128266,128206,60,6,0.388321519
Malaysia,MYS,7/3/2021,140854,140788,66,7,0.426430979
Malaysia,MYS,8/3/2021,168072,167992,80,3,0.508828828
Malaysia,MYS,9/3/2021,198199,198057,142,8,0.599892323
Malaysia,MYS,10/3/2021,226983,226830,153,9,0.687042496
Malaysia,MYS,11/3/2021,253502,253345,161,5,0.767353442
Malaysia,MYS,12/3/2021,279628,279462,170,9,0.84645889
Malaysia,MYS,13/3/2021,296689,296521,172,3,0.898128678
Malaysia,MYS,14/3/2021,307000,306828,176,3,0.929347419
Malaysia,MYS,15/3/2021,327395,327220,179,4,0.991112488
Malaysia,MYS,16/3/2021,352876,352695,185,3,1.06827339
Malaysia,MYS,17/3/2021,373732,373488,248,5,1.131253043
Malaysia,MYS,18/3/2021,391844,390802,1046,2,1.183695197
Malaysia,MYS,19/3/2021,406420,401544,4880,3,1.216231504
Malaysia,MYS,20/3/2021,420228,409248,10984,2,1.239566051
Malaysia,MYS,21/3/2021,435789,418960,16833,4,1.268982604
Malaysia,MYS,22/3/2021,460088,428680,31412,4,1.298423388
Malaysia,MYS,23/3/2021,489269,436986,52287,5,1.323581326
Malaysia,MYS,24/3/2021,518384,443276,75112,6,1.342633027
Malaysia,MYS,25/3/2021,544188,449710,94482,2,1.362120887
Malaysia,MYS,26/3/2021,560938,453648,107294,2,1.374048645
Malaysia,MYS,27/3/2021,577085,455355,121734,1,1.379218956
Malaysia,MYS,28/3/2021,593699,459039,134664,2,1.390377377
Malaysia,MYS,29/3/2021,628944,466905,162043,4,1.414202604
Malaysia,MYS,30/3/2021,669879,478432,191451,5,1.449116587
Malaysia,MYS,31/3/2021,707355,488384,218975,5,1.479260073
Malaysia,MYS,1/4/2021,749825,504292,245537,7,1.527443612
Malaysia,MYS,2/4/2021,780312,511875,268441,6,1.550411664
Malaysia,MYS,3/4/2021,797738,514555,283187,5,1.558529081
Malaysia,MYS,4/4/2021,812928,520584,292348,3,1.576790243
Malaysia,MYS,5/4/2021,841639,529784,311859,2,1.604656005
Malaysia,MYS,6/4/2021,874357,540796,333565,7,1.638010112
Malaysia,MYS,7/4/2021,905379,553496,351887,5,1.67647698
Malaysia,MYS,8/4/2021,932283,565589,366698,4,1.713105314
Malaysia,MYS,9/4/2021,953904,572817,381091,4,1.734998111
Malaysia,MYS,10/4/2021,969644,578488,391160,5,1.75217493
Malaysia,MYS,11/4/2021,992840,590966,401878,8,1.789969386
Malaysia,MYS,12/4/2021,1032163,616329,415838,8,1.866791053
Malaysia,MYS,13/4/2021,1056680,633146,423538,4,1.91772785
Malaysia,MYS,14/4/2021,1085372,654089,431287,12,1.981161836
Malaysia,MYS,15/4/2021,1112641,672190,440455,8,2.035987724
Malaysia,MYS,16/4/2021,1132192,687819,444377,10,2.083326203
Malaysia,MYS,17/4/2021,1141877,696391,445490,2,2.109289824
Malaysia,MYS,18/4/2021,1151736,702484,449256,5,2.127744834
Malaysia,MYS,19/4/2021,1184894,727152,457746,8,2.202461425
Malaysia,MYS,20/4/2021,1218273,749239,469038,8,2.269360458
Malaysia,MYS,21/4/2021,1245972,765063,480913,3,2.31728957
Malaysia,MYS,22/4/2021,1275556,779458,496102,11,2.360890402
Malaysia,MYS,23/4/2021,1294468,791677,502795,7,2.397900375
Malaysia,MYS,24/4/2021,1305951,799669,506286,8,2.422107242
Malaysia,MYS,25/4/2021,1320797,808781,512020,11,2.449706463
Malaysia,MYS,26/4/2021,1351109,830150,520963,10,2.514430755
Malaysia,MYS,27/4/2021,1385816,852977,532843,13,2.583571164
Malaysia,MYS,28/4/2021,1425517,879441,546080,13,2.663727636
Malaysia,MYS,29/4/2021,1438052,885910,552146,15,2.683321508
Malaysia,MYS,30/4/2021,1464763,903702,561065,15,2.73721147
Malaysia,MYS,1/5/2021,1470263,906632,563635,14,2.74608611
Malaysia,MYS,2/5/2021,1486045,914290,571759,15,2.769281328
Malaysia,MYS,3/5/2021,1537327,938825,598506,12,2.843595077
Malaysia,MYS,4/5/2021,1587171,968966,618209,18,2.934888768
Malaysia,MYS,5/5/2021,1642191,1001077,641118,23,3.032149367
Malaysia,MYS,6/5/2021,1698057,1038154,659907,17,3.144451419
Malaysia,MYS,7/5/2021,1745905,1070511,675398,19,3.242457124
Malaysia,MYS,8/5/2021,1773051,1089212,683843,22,3.299100345
Malaysia,MYS,9/5/2021,1805565,1115121,690450,25,3.377575785
Malaysia,MYS,10/5/2021,1867168,1151851,715323,26,3.488826814
Malaysia,MYS,11/5/2021,1916158,1182379,733785,17,3.581292684
Malaysia,MYS,12/5/2021,1934326,1192717,741615,22,3.61260532
Malaysia,MYS,13/5/2021,1934448,1192829,741625,39,3.612944555
Malaysia,MYS,14/5/2021,1934517,1192889,741634,27,3.613126289
Malaysia,MYS,15/5/2021,1945453,1203221,742238,34,3.644420752
Malaysia,MYS,16/5/2021,1955781,1213215,742572,44,3.674691451
Malaysia,MYS,17/5/2021,2016482,1245702,770786,36,3.773090911
Malaysia,MYS,18/5/2021,2094719,1291537,803188,45,3.911919959
Malaysia,MYS,19/5/2021,2179099,1341765,837340,47,4.064054908
Malaysia,MYS,20/5/2021,2260398,1401058,859346,46,4.24364672
Malaysia,MYS,21/5/2021,2321547,1443300,878253,59,4.371592975
Malaysia,MYS,22/5/2021,2368262,1486647,881621,50,4.502886151
Malaysia,MYS,23/5/2021,2414727,1524687,890046,50,4.618105022
Malaysia,MYS,24/5/2021,2510630,1594440,916196,49,4.829378995
Malaysia,MYS,25/5/2021,2611322,1664335,946993,61,5.04108307
Malaysia,MYS,26/5/2021,2633748,1684851,948903,60,5.10322372
Malaysia,MYS,27/5/2021,2742333,1743765,998574,63,5.281667584
Malaysia,MYS,28/5/2021,2816889,1790725,1026170,59,5.42390413
Malaysia,MYS,29/5/2021,2883108,1841864,1041250,61,5.578798395
Malaysia,MYS,30/5/2021,2945966,1880281,1065691,98,5.695159157
Malaysia,MYS,31/5/2021,3042366,1947957,1094415,79,5.900142131
Malaysia,MYS,1/6/2021,3142335,2023457,1118884,67,6.128823118
Malaysia,MYS,2/6/2021,3249319,2120538,1128787,71,6.422870522
Malaysia,MYS,3/6/2021,3368673,2232010,1136669,126,6.760506642
Malaysia,MYS,4/6/2021,3460155,2318505,1141656,103,7.022490245
Malaysia,MYS,5/6/2021,3533801,2390749,1143058,86,7.241309176
Malaysia,MYS,6/6/2021,3616628,2471957,1144677,109,7.487279052
Malaysia,MYS,7/6/2021,3682583,2532806,1149783,87,7.671583813
Malaysia,MYS,8/6/2021,3837582,2641371,1196217,82,8.000414958
Malaysia,MYS,9/6/2021,3994758,2757736,1237028,76,8.352871423
Malaysia,MYS,10/6/2021,4156085,2871558,1284534,75,8.697625428
Malaysia,MYS,11/6/2021,4282776,2967952,1314831,73,8.989591986
Malaysia,MYS,12/6/2021,4420440,3071414,1349033,84,9.302966719
Malaysia,MYS,13/6/2021,4552479,3176432,1376054,76,9.621054401
Malaysia,MYS,14/6/2021,4756478,3324470,1432015,64,10.06944481
Malaysia,MYS,15/6/2021,4979880,3491608,1488279,60,10.57568697
Malaysia,MYS,16/6/2021,5194513,3697943,1496577,101,11.20065242
Malaysia,MYS,17/6/2021,5424111,3883090,1541028,73,11.76144181
Malaysia,MYS,18/6/2021,5609979,4036180,1573806,60,12.22513416
Malaysia,MYS,19/6/2021,5782223,4172077,1610153,74,12.63675085
Malaysia,MYS,20/6/2021,5928969,4294573,1634403,72,13.00777743
Malaysia,MYS,21/6/2021,6174375,4485190,1689192,60,13.58513483
Malaysia,MYS,22/6/2021,6434647,4684391,1750263,69,14.1884922
Malaysia,MYS,23/6/2021,6700190,4869750,1830447,77,14.74992371
Malaysia,MYS,24/6/2021,6978031,5052743,1925295,83,15.30418888
Malaysia,MYS,25/6/2021,7201174,5207571,1993610,84,15.77314543
Malaysia,MYS,26/6/2021,7399718,5349713,2050013,82,16.20367752
Malaysia,MYS,27/6/2021,7577715,5461469,2116254,81,16.54217385
Malaysia,MYS,28/6/2021,7787911,5627998,2159921,60,17.04657141
Malaysia,MYS,29/6/2021,8032325,5786876,2245457,57,17.52779496
Malaysia,MYS,30/6/2021,8303128,5960836,2342300,107,18.05470019
Malaysia,MYS,1/7/2021,8573434,6144533,2428910,62,18.61109769
Malaysia,MYS,2/7/2021,8814343,6314713,2499639,84,19.12655372
Malaysia,MYS,3/7/2021,9038536,6459482,2579063,73,19.5650427
Malaysia,MYS,4/7/2021,9254436,6594523,2659922,107,19.97406667
Malaysia,MYS,5/7/2021,9582490,6801092,2781407,63,20.59974088
Malaysia,MYS,6/7/2021,9938864,7018149,2920724,77,21.25718206
Malaysia,MYS,7/7/2021,10334264,7236947,3097326,103,21.91989653
Malaysia,MYS,8/7/2021,10724904,7466945,3257968,91,22.61653454
Malaysia,MYS,9/7/2021,11075388,7687589,3387808,135,23.28484034
Malaysia,MYS,10/7/2021,11411874,7907312,3504571,77,23.95035654
Malaysia,MYS,11/7/2021,11710015,8102026,3607998,87,24.54012329
Malaysia,MYS,12/7/2021,12144386,8373875,3770520,91,25.36352326
Malaysia,MYS,13/7/2021,12584280,8642339,3941950,102,26.17667045
Malaysia,MYS,14/7/2021,13043563,8937559,4106013,125,27.07085855
Malaysia,MYS,15/7/2021,13522603,9255269,4267343,118,28.03316632
Malaysia,MYS,16/7/2021,13940609,9539041,4401577,110,28.89267971
Malaysia,MYS,17/7/2021,14337520,9803720,4533809,115,29.69436256
Malaysia,MYS,18/7/2021,14694162,10056222,4637949,138,30.45916265
Malaysia,MYS,19/7/2021,15137421,10344898,4792532,153,31.33352971
Malaysia,MYS,20/7/2021,15449319,10553318,4896011,129,31.96481039
Malaysia,MYS,21/7/2021,15908782,10842261,5066531,93,32.83998616
Malaysia,MYS,22/7/2021,16428904,11185522,5243392,199,33.87968503
Malaysia,MYS,23/7/2021,16908047,11500067,5407990,134,34.83240637
Malaysia,MYS,24/7/2021,17341550,11795935,5545625,144,35.72855718
Malaysia,MYS,25/7/2021,17759003,12088322,5670691,184,36.61416444
Malaysia,MYS,26/7/2021,18297319,12430963,5866366,92,37.6519854
Malaysia,MYS,27/7/2021,18869657,12797375,6072292,207,38.76180603
Malaysia,MYS,28/7/2021,19452201,13172678,6279535,203,39.89855651
Malaysia,MYS,29/7/2021,20033814,13535658,6498172,147,40.997982
Malaysia,MYS,30/7/2021,20569764,13868554,6701226,174,42.00628646
Malaysia,MYS,31/7/2021,21113850,14205018,6908850,134,43.02539798
Malaysia,MYS,1/8/2021,21609881,14515450,7094451,165,43.96566151
Malaysia,MYS,2/8/2021,22099006,14752370,7346656,160,44.68326547
Malaysia,MYS,3/8/2021,22604019,15006375,7597665,219,45.45261798
Malaysia,MYS,4/8/2021,23120367,15249245,7871144,195,46.18824383
Malaysia,MYS,5/8/2021,23659339,15485247,8174117,257,46.90306728
Malaysia,MYS,6/8/2021,24130679,15690639,8440066,164,47.52517649
Malaysia,MYS,7/8/2021,24582968,15895651,8687344,160,48.14613472
Malaysia,MYS,8/8/2021,24994951,16067937,8927042,210,48.66796959
Malaysia,MYS,9/8/2021,25483133,16271390,9211775,360,49.28420579
Malaysia,MYS,10/8/2021,25861951,16448452,9413533,212,49.82050663
Malaysia,MYS,11/8/2021,26381751,16693531,9688259,201,50.56282329
Malaysia,MYS,12/8/2021,26934310,16912091,10022261,211,51.22481688
